participant_id,session_start,stimulus_start_time,stimulus_end_time,response_time_seconds,shown_order,stimulus_id,student_id,participant_model_label,model_name,model_type,explanation_type,predicted_label,predicted_probability_pass,Q1_understanding,Q2_clear,Q3_sufficient_detail,Q4_completeness,Q5_trust_prediction
P002,2026-06-22T12:26:04,2026-06-22T12:26:04,2026-06-22T12:34:59,535.098479,1,2,597,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.6471405605542588,5,5,5,5,4
P002,2026-06-22T12:26:04,2026-06-22T12:35:01,2026-06-22T12:36:31,89.828536,2,6,517,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.7806154365565589,5,5,5,5,4
P002,2026-06-22T12:26:04,2026-06-22T12:36:33,2026-06-22T12:37:30,57.505101,3,1,597,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.664649289606041,5,5,5,5,4
P002,2026-06-22T12:26:04,2026-06-22T12:37:32,2026-06-22T12:38:32,60.004681,4,8,443,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.8834069772403619,5,5,5,5,4
P002,2026-06-22T12:26:04,2026-06-22T12:38:34,2026-06-22T12:39:32,58.323611,5,3,604,A,EBM,inherently interpretable,built-in local additive explanation,fail,0.1602996424338928,5,5,5,5,4
P002,2026-06-22T12:26:04,2026-06-22T12:39:34,2026-06-22T12:40:33,58.822288,6,5,517,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.8172739235696473,5,5,5,5,4
P002,2026-06-22T12:26:04,2026-06-22T12:40:34,2026-06-22T12:41:23,48.878417,7,4,604,B,Random Forest,black-box,post-hoc local perturbation explanation,fail,0.426117315404751,5,5,5,5,4
P002,2026-06-22T12:26:04,2026-06-22T12:41:24,2026-06-22T12:42:33,68.461029,8,7,443,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.978898518413987,5,5,5,5,4
P003,2026-06-22T12:52:27,2026-06-22T12:52:27,2026-06-22T12:52:47,19.249252,1,2,597,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.6471405605542588,5,5,4,4,4
P003,2026-06-22T12:52:27,2026-06-22T12:52:48,2026-06-22T12:53:13,25.091918,2,6,517,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.7806154365565589,5,5,4,5,4
P003,2026-06-22T12:52:27,2026-06-22T12:53:14,2026-06-22T12:54:06,52.190976,3,1,597,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.664649289606041,5,5,5,5,4
P003,2026-06-22T12:52:27,2026-06-22T12:54:08,2026-06-22T12:54:27,19.276538,4,8,443,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.8834069772403619,5,5,5,5,4
P003,2026-06-22T12:52:27,2026-06-22T12:54:28,2026-06-22T12:54:44,16.057237,5,3,604,A,EBM,inherently interpretable,built-in local additive explanation,fail,0.1602996424338928,5,4,4,4,4
P003,2026-06-22T12:52:27,2026-06-22T12:54:45,2026-06-22T12:55:02,17.086893,6,5,517,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.8172739235696473,5,4,4,5,4
P003,2026-06-22T12:52:27,2026-06-22T12:55:03,2026-06-22T12:55:15,12.244025,7,4,604,B,Random Forest,black-box,post-hoc local perturbation explanation,fail,0.426117315404751,5,5,4,4,4
P003,2026-06-22T12:52:27,2026-06-22T12:55:17,2026-06-22T12:55:26,9.542035,8,7,443,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.978898518413987,5,5,5,5,4
P004,2026-06-22T13:30:32,2026-06-22T13:30:32,2026-06-22T13:38:42,490.904159,1,2,597,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.6471405605542588,3,4,1,1,1
P004,2026-06-22T13:30:32,2026-06-22T13:38:45,2026-06-22T13:41:33,167.883195,2,6,517,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.7806154365565589,5,2,1,1,1
P004,2026-06-22T13:30:32,2026-06-22T13:41:34,2026-06-22T13:42:50,75.887055,3,1,597,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.664649289606041,1,4,1,1,1
P004,2026-06-22T13:30:32,2026-06-22T13:42:51,2026-06-22T13:43:50,58.725883,4,8,443,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.8834069772403619,4,5,2,1,2
P004,2026-06-22T13:30:32,2026-06-22T13:43:51,2026-06-22T13:44:33,42.255071,5,3,604,A,EBM,inherently interpretable,built-in local additive explanation,fail,0.1602996424338928,1,4,1,1,1
P004,2026-06-22T13:30:32,2026-06-22T13:44:35,2026-06-22T13:45:06,31.117122,6,5,517,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.8172739235696473,1,4,1,1,1
P004,2026-06-22T13:30:32,2026-06-22T13:45:07,2026-06-22T13:45:44,37.34054,7,4,604,B,Random Forest,black-box,post-hoc local perturbation explanation,fail,0.426117315404751,1,4,1,1,1
P004,2026-06-22T13:30:32,2026-06-22T13:45:45,2026-06-22T13:46:12,26.799167,8,7,443,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.978898518413987,1,4,1,1,1
P005,2026-06-22T15:21:49,2026-06-22T15:21:49,2026-06-22T15:22:00,10.437483,1,2,597,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.6471405605542588,3,2,2,3,1
P005,2026-06-22T15:21:49,2026-06-22T15:22:01,2026-06-22T15:22:08,7.527935,2,6,517,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.7806154365565589,1,1,1,2,1
P005,2026-06-22T15:21:49,2026-06-22T15:22:09,2026-06-22T15:22:17,7.628721,3,1,597,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.664649289606041,3,2,2,1,1
P005,2026-06-22T15:21:49,2026-06-22T15:22:18,2026-06-22T15:22:34,15.961368,4,8,443,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.8834069772403619,4,2,2,3,1
P005,2026-06-22T15:21:49,2026-06-22T15:22:35,2026-06-22T15:22:45,9.335812,5,3,604,A,EBM,inherently interpretable,built-in local additive explanation,fail,0.1602996424338928,4,4,3,3,2
P005,2026-06-22T15:21:49,2026-06-22T15:22:45,2026-06-22T15:23:02,16.164752,6,5,517,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.8172739235696473,4,2,2,2,1
P005,2026-06-22T15:21:49,2026-06-22T15:23:03,2026-06-22T15:23:12,9.537409,7,4,604,B,Random Forest,black-box,post-hoc local perturbation explanation,fail,0.426117315404751,4,4,4,3,3
P005,2026-06-22T15:21:49,2026-06-22T15:23:15,2026-06-22T15:23:27,12.15223,8,7,443,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.978898518413987,5,4,4,4,4
P018,2026-06-22T18:13:45,2026-06-22T18:13:45,2026-06-22T18:15:25,99.805911,1,2,597,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.6471405605542588,3,3,2,3,4
P018,2026-06-22T18:13:45,2026-06-22T18:15:27,2026-06-22T18:16:29,62.194272,2,6,517,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.7806154365565589,3,3,1,2,3
P018,2026-06-22T18:13:45,2026-06-22T18:16:32,2026-06-22T18:19:05,153.04584,3,1,597,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.664649289606041,2,1,2,1,3
P018,2026-06-22T18:13:45,2026-06-22T18:19:06,2026-06-22T18:20:17,70.68748,4,8,443,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.8834069772403619,3,3,3,2,3
P018,2026-06-22T18:13:45,2026-06-22T18:20:18,2026-06-22T18:21:16,57.527025,5,3,604,A,EBM,inherently interpretable,built-in local additive explanation,fail,0.1602996424338928,2,2,3,3,3
P018,2026-06-22T18:13:45,2026-06-22T18:21:16,2026-06-22T18:22:33,76.737485,6,5,517,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.8172739235696473,2,2,2,1,1
P018,2026-06-22T18:13:45,2026-06-22T18:22:34,2026-06-22T18:23:29,54.635932,7,4,604,B,Random Forest,black-box,post-hoc local perturbation explanation,fail,0.426117315404751,3,3,4,3,3
P018,2026-06-22T18:13:45,2026-06-22T18:23:30,2026-06-22T18:24:35,64.788219,8,7,443,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.978898518413987,2,3,3,2,2
P019,2026-06-22T18:38:25,2026-06-22T18:38:25,2026-06-22T18:40:15,109.301662,1,2,597,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.6471405605542588,2,4,2,2,3
P019,2026-06-22T18:38:25,2026-06-22T18:40:16,2026-06-22T18:42:11,114.513336,2,6,517,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.7806154365565589,3,4,2,1,3
P019,2026-06-22T18:38:25,2026-06-22T18:42:13,2026-06-22T18:43:25,72.812573,3,1,597,A,EBM,inherently interpretable,built-in local additive explanation,pass,0.664649289606041,1,3,2,2,3
P019,2026-06-22T18:38:25,2026-06-22T18:43:26,2026-06-22T18:44:14,48.079847,4,8,443,B,Random Forest,black-box,post-hoc local perturbation explanation,pass,0.8834069772403619,4,3,3,4,4
